"Name";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"High";"Low";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"15 Oct 2017";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"Euronext Growth Paris";"EUR";"46.26";"46.30";"46.26";"46.30";"13/10/2017 17:29";"CET";"443";"20508.81"
"2VALORISE";"BE0974275076";"VALOR";"Euronext Brussels";"EUR";"5.80";"5.80";"5.80";"5.80";"13/10/2017 16:30";"CET";"12";"69.60"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Euronext Access Paris";"EUR";"0.07";"0.07";"0.07";"0.07";"02/10/2017 11:30";"CET";"400";"28.00"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Euronext Access Paris";"EUR";"3.49";"3.49";"3.49";"3.49";"22/08/2017 11:30";"CET";"300";"1047.00"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"8.01";"8.09";"7.97";"8.00";"13/10/2017 17:39";"CET";"16096";"128813.83"
"A2MICILE EUROPE";"FR0010795476";"ALA2M";"Euronext Growth Paris";"EUR";"35.50";"37.79";"34.75";"36.00";"13/10/2017 09:44";"CET";"118";"4296.35"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"41.145";"41.36";"41.055";"41.29";"13/10/2017 17:35";"CET";"196439";"8102881.715"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"105.00";"106.15";"104.80";"106.15";"13/10/2017 17:38";"CET";"1420172";"150037118.85"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"8.89";"8.98";"8.80";"8.82";"13/10/2017 17:35";"CET";"29570";"261274.28"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"6.22";"6.34";"6.22";"6.32";"13/10/2017 17:35";"CET";"35269";"222258.74"
"ABC ORTHODONTICS";"CH0044947239";"MLABC";"Euronext Access Paris";"EUR";"0.29";"0.29";"0.29";"0.29";"04/04/2016 15:00";"CET";"1";"0.29"
