"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"30 Sep 2018";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"Euronext Growth Paris";"EUR";"30,00";"30,00";"29,40";"29,40";"28/09/2018 14:28";"CET";"1266";"37661,60"
"2CRSI";"FR0013341781";"2CRSI";"Euronext Paris";"EUR";"10,35";"10,40";"9,56";"9,74";"28/09/2018 17:35";"CET";"102645";"1023698,13"
"2VALORISE";"BE0974275076";"VALOR";"Euronext Brussels";"EUR";"5,90";"5,90";"5,90";"5,90";"28/09/2018 16:30";"CET";"332";"1958,80"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Euronext Access Paris";"EUR";"0,146";"0,146";"0,146";"0,146";"23/07/2018 12:09";"CET";"5200";"759,20"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Euronext Access Paris";"EUR";"1,99";"1,99";"1,99";"1,99";"17/09/2018 16:30";"CET";"174";"346,26"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"11,36";"11,46";"10,60";"10,96";"28/09/2018 17:35";"CET";"12397";"136774,10"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"36,33";"37,44";"36,25";"36,68";"28/09/2018 17:35";"CET";"620597";"22865582,71"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"75,81";"76,01";"75,09";"75,22";"28/09/2018 17:39";"CET";"2382037";"179627581,57"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"4,04";"4,048";"4,00";"4,002";"28/09/2018 17:35";"CET";"56610";"227126,882"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"6,04";"6,31";"6,00";"6,24";"28/09/2018 17:35";"CET";"123300";"762091,25"
"ABC ORTHODONTICS";"CH0044947239";"MLABC";"Euronext Access Paris";"EUR";"0,29";"0,29";"0,29";"0,29";"04/04/2016 15:00";"CET";"1";"0,29"
"ABEO";"FR0013185857";"ABEO";"Euronext Paris";"EUR";"35,40";"35,40";"34,80";"35,00";"28/09/2018 17:35";"CET";"492";"17177,30"
"ABIVAX";"FR0012333284";"ABVX";"Euronext Paris";"EUR";"6,98";"7,14";"6,98";"7,01";"28/09/2018 17:35";"CET";"12946";"91254,08"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"23,58";"23,59";"23,09";"23,45";"28/09/2018 17:35";"CET";"3171228";"74162989,29"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"3,54";"3,54";"3,54";"3,54";"27/09/2018 12:10";"CET";"750";"2655,00"
"ACACIA PHARMA";"GB00BYWF9Y76";"ACPH";"Euronext Brussels";"EUR";"3,63";"3,90";"3,58";"3,90";"28/09/2018 17:35";"CET";"163875";"617873,771"
"ACANTHE DEV.";"FR0000064602";"ACAN";"Euronext Paris";"EUR";"0,616";"0,616";"0,612";"0,614";"28/09/2018 17:20";"CET";"9827";"6026,464"
"ACCELL GROUP";"NL0009767532";"ACCEL";"Euronext Amsterdam";"EUR";"16,74";"16,94";"16,72";"16,74";"28/09/2018 17:35";"CET";"18346";"308246,70"
"ACCENTIS";"BE0003696102";"ACCB";"Euronext Brussels";"EUR";"0,041";"0,041";"0,0405";"0,0405";"28/09/2018 15:33";"CET";"308423";"12530,3465"
"ACCOR";"FR0000120404";"AC";"Euronext Paris";"EUR";"43,98";"44,22";"43,87";"44,22";"28/09/2018 17:38";"CET";"943737";"41657688,69"
"ACCSYS";"GB00BQQFX454";"AXS";"Euronext Amsterdam";"EUR";"1,13";"1,13";"1,11";"1,12";"28/09/2018 17:29";"CET";"14607";"16372,655"
"ACEP FRANCE";"FR0010762740";"MLACP";"Euronext Access Paris";"EUR";"2,40";"2,40";"2,40";"2,40";"20/09/2018 16:30";"CET";"1";"2,40"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"Euronext Growth Paris";"EUR";"0,0282";"0,0288";"0,0274";"0,0284";"28/09/2018 17:35";"CET";"2445758";"68647,9512"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"Euronext Brussels";"EUR";"152,00";"152,00";"148,70";"149,90";"28/09/2018 17:35";"CET";"33822";"5067561,40"
"ACTEOS";"FR0000076861";"EOS";"Euronext Paris";"EUR";"2,01";"2,03";"1,91";"1,91";"28/09/2018 16:19";"CET";"11134";"21999,865"
"ACTIA GROUP";"FR0000076655";"ATI";"Euronext Paris";"EUR";"6,17";"6,20";"6,10";"6,10";"28/09/2018 17:35";"CET";"4775";"29372,65"
"ACTIPLAY (GROUPE)";"FR0011038348";"ALACT";"Euronext Growth Paris";"EUR";"1,19";"1,305";"1,19";"1,19";"28/09/2018 17:21";"CET";"2076";"2481,94"
"ACTIVIUM GROUP";"FR0010979377";"MLACT";"Euronext Access Paris";"EUR";"0,65";"0,65";"0,65";"0,65";"28/09/2018 16:30";"CET";"2";"1,30"
"ADA";"FR0000053076";"ALADA";"Euronext Growth Paris";"EUR";"11,50";"11,60";"11,50";"11,60";"28/09/2018 09:53";"CET";"76";"881,50"
"ADC SIIC";"BE0974269012";"ALDV";"Euronext Paris";"EUR";"0,092";"0,092";"0,0915";"0,0915";"13/09/2018 16:46";"CET";"20449";"1871,18"
"ADEUNIS";"FR0013284627";"ALARF";"Euronext Growth Paris";"EUR";"9,149";"9,149";"9,001";"9,12";"28/09/2018 17:35";"CET";"331";"2994,499"
"ADL PARTNER";"FR0000062978";"ALP";"Euronext Paris";"EUR";"14,50";"14,65";"14,00";"14,25";"28/09/2018 17:35";"CET";"2454";"35127,35"
"ADOCIA";"FR0011184241";"ADOC";"Euronext Paris";"EUR";"16,80";"17,00";"16,46";"16,46";"28/09/2018 17:35";"CET";"18764";"313364,56"
"ADOMOS";"FR0013247244";"ALADO";"Euronext Growth Paris";"EUR";"0,91";"0,916";"0,908";"0,91";"28/09/2018 17:35";"CET";"82323";"74940,52"
"ADOMOS BS";"FR0013247228";"ALABS";"Euronext Growth Paris";"EUR";"0,0162";"0,0162";"0,016";"0,016";"26/09/2018 16:55";"CET";"31266";"502,26"
"ADP";"FR0010340141";"ADP";"Euronext Paris";"EUR";"190,00";"194,90";"189,30";"193,90";"28/09/2018 17:36";"CET";"118266";"22887038,00"
"ADTHINK MEDIA";"FR0010457531";"ALADM";"Euronext Growth Paris";"EUR";"0,782";"0,80";"0,78";"0,80";"28/09/2018 17:35";"CET";"3905";"3062,66"
"ADUX";"FR0012821890";"ADUX";"Euronext Paris";"EUR";"3,56";"3,56";"3,50";"3,52";"28/09/2018 17:27";"CET";"4792";"16821,64"
"ADVENIS";"FR0004152874";"ADV";"Euronext Paris";"EUR";"1,90";"1,90";"1,82";"1,90";"28/09/2018 15:02";"CET";"8602";"15976,035"
"ADVICENNE";"FR0013296746";"ADVIC";"Euronext Paris";"EUR";"12,56";"12,56";"12,514";"12,54";"28/09/2018 17:35";"CET";"965";"12106,10"
"ADVINI";"FR0000053043";"ADVI";"Euronext Paris";"EUR";"32,40";"32,40";"32,00";"32,00";"28/09/2018 16:33";"CET";"16";"512,40"
"ADYEN";"NL0012969182";"ADYEN";"Euronext Amsterdam";"EUR";"699,50";"708,00";"687,40";"703,00";"28/09/2018 17:37";"CET";"55281";"38651695,20"
